                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.35723,                0.36347,                 0.3489,                0.93937,                0.97787,                      1,                  0.995,                0.98518,                0.97787,                      1,                  0.995,                0.97319,                0.30065,                0.34282,                0.38888,                0.70045,               0.002674,               0.002674,               0.002674
                     76,                0.32936,                0.29498,                0.29736,                0.92663,                 0.9805,                      1,                  0.995,                0.98719,                 0.9805,                      1,                  0.995,                0.97317,                0.29032,                0.33837,                0.34751,                0.69055,               0.002575,               0.002575,               0.002575
                     77,                0.31578,                0.32285,                0.33935,                0.91093,                0.98073,                      1,                  0.995,                0.98715,                0.98073,                      1,                  0.995,                0.96755,                0.27105,                0.33953,                0.31808,                0.68274,               0.002476,               0.002476,               0.002476
                     78,                0.30257,                0.33688,                  0.314,                 0.9247,                0.97892,                      1,                  0.995,                0.95894,                0.97892,                      1,                  0.995,                0.96757,                0.27246,                0.34211,                0.32109,                 0.6797,               0.002377,               0.002377,               0.002377
                     79,                0.33284,                 0.3691,                0.32642,                0.92638,                0.97888,                      1,                  0.995,                 0.9648,                0.97888,                      1,                  0.995,                0.96753,                0.30694,                0.35752,                0.34142,                0.69767,               0.002278,               0.002278,               0.002278
                     80,                0.33453,                0.32431,                0.32965,                0.91891,                0.98309,                      1,                  0.995,                0.94841,                0.98309,                      1,                  0.995,                0.96758,                 0.3202,                0.34631,                0.34285,                0.71642,               0.002179,               0.002179,               0.002179
                     81,                 0.3042,                0.31127,                0.30338,                0.91819,                0.98366,                      1,                  0.995,                0.93322,                0.98366,                      1,                  0.995,                0.97322,                0.32921,                0.34381,                0.36434,                0.74162,                0.00208,                0.00208,                0.00208
                     82,                0.32431,                0.34061,                0.32214,                0.94329,                0.98254,                      1,                  0.995,                0.93601,                0.98254,                      1,                  0.995,                0.97322,                0.32575,                0.34189,                0.33447,                0.73451,               0.001981,               0.001981,               0.001981
                     83,                0.32655,                0.37443,                0.30003,                0.93945,                0.98043,                      1,                  0.995,                0.93885,                0.98043,                      1,                  0.995,                0.97313,                0.34391,                 0.3352,                 0.3544,                0.74607,               0.001882,               0.001882,               0.001882
                     84,                0.32967,                0.38476,                0.33049,                0.93365,                 0.9817,                      1,                  0.995,                0.93934,                 0.9817,                      1,                  0.995,                0.97863,                0.35431,                0.34048,                0.33957,                0.74509,               0.001783,               0.001783,               0.001783
