                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.4071,                0.50475,                0.42111,                0.97361,                0.97346,                      1,                  0.995,                0.90735,                0.97346,                      1,                  0.995,                0.89303,                0.50144,                0.38162,                 0.4252,                0.89362,               0.003466,               0.003466,               0.003466
                     68,                0.45058,                0.67449,                0.49811,                0.99219,                0.97503,                      1,                  0.995,                0.92943,                0.97503,                      1,                  0.995,                0.93343,                0.47302,                0.36326,                0.41849,                0.85934,               0.003367,               0.003367,               0.003367
                     69,                0.42304,                0.55547,                0.44914,                0.98887,                0.98159,                      1,                  0.995,                0.95313,                0.98159,                      1,                  0.995,                0.95662,                0.39645,                 0.3501,                 0.3687,                0.78933,               0.003268,               0.003268,               0.003268
                     70,                0.38613,                0.48296,                0.39184,                0.97494,                0.98305,                      1,                  0.995,                0.97153,                0.98305,                      1,                  0.995,                0.96841,                0.34003,                0.37628,                0.35332,                 0.7237,               0.003169,               0.003169,               0.003169
                     71,                 0.3537,                0.45596,                0.35936,                0.95374,                0.98359,                      1,                  0.995,                0.97188,                0.98359,                      1,                  0.995,                0.95455,                0.32431,                0.36902,                0.28179,                0.70184,                0.00307,                0.00307,                0.00307
                     72,                0.33569,                0.52965,                0.38197,                0.94161,                0.98145,                      1,                  0.995,                0.98148,                0.98145,                      1,                  0.995,                0.97353,                0.30014,                0.35408,                0.25526,                0.66496,               0.002971,               0.002971,               0.002971
                     73,                0.36214,                0.52089,                 0.3783,                0.94698,                0.98168,                      1,                  0.995,                0.98721,                0.98168,                      1,                  0.995,                0.96768,                0.31376,                 0.3242,                0.31157,                0.67078,               0.002872,               0.002872,               0.002872
                     74,                0.34771,                0.65603,                0.39739,                0.94386,                0.98301,                      1,                  0.995,                 0.9843,                0.98301,                      1,                  0.995,                0.96854,                0.32209,                  0.315,                0.27256,                0.67682,               0.002773,               0.002773,               0.002773
                     75,                0.36452,                0.60871,                0.40507,                0.95614,                0.98318,                      1,                  0.995,                 0.9669,                0.98318,                      1,                  0.995,                 0.9691,                0.37075,                0.33346,                0.28788,                0.72972,               0.002674,               0.002674,               0.002674
                     76,                0.37282,                0.62303,                 0.4038,                 0.9415,                0.98443,                      1,                  0.995,                0.97043,                0.98443,                      1,                  0.995,                0.96862,                0.37378,                0.33009,                0.29598,                0.73732,               0.002575,               0.002575,               0.002575
                     77,                0.31445,                 0.4286,                 0.3369,                0.94512,                0.98718,                      1,                  0.995,                0.96547,                0.98718,                      1,                  0.995,                0.95958,                0.35284,                0.34913,                0.27666,                0.71225,               0.002476,               0.002476,               0.002476
                     78,                0.34249,                0.48937,                0.31895,                0.95093,                0.98714,                      1,                  0.995,                0.97172,                0.98714,                      1,                  0.995,                0.95752,                0.33242,                0.34801,                0.26239,                0.70612,               0.002377,               0.002377,               0.002377
                     79,                0.35422,                0.51239,                0.35014,                0.96488,                0.98541,                      1,                  0.995,                0.98254,                0.98541,                      1,                  0.995,                0.95729,                0.31904,                0.35701,                0.25162,                0.70379,               0.002278,               0.002278,               0.002278
                     80,                0.33175,                0.58066,                0.37807,                0.91578,                0.98786,                      1,                  0.995,                0.98558,                0.98786,                      1,                  0.995,                0.96895,                0.30042,                0.36147,                0.23071,                0.67989,               0.002179,               0.002179,               0.002179
                     81,                0.34224,                0.44889,                0.34547,                0.93091,                0.98864,                      1,                  0.995,                0.98669,                0.98864,                      1,                  0.995,                0.96929,                0.30585,                0.35685,                0.22501,                0.67916,                0.00208,                0.00208,                0.00208
                     82,                0.38665,                0.55787,                0.42517,                0.97761,                 0.9884,                      1,                  0.995,                0.98663,                 0.9884,                      1,                  0.995,                0.96895,                0.29062,                0.36226,                0.21687,                0.65497,               0.001981,               0.001981,               0.001981
                     83,                 0.3515,                0.44712,                0.34314,                0.94218,                0.98942,                      1,                  0.995,                0.98654,                0.98942,                      1,                  0.995,                 0.9691,                0.26195,                 0.3705,                0.22474,                0.63225,               0.001882,               0.001882,               0.001882
                     84,                0.35455,                 0.5243,                0.32825,                0.93787,                0.98965,                      1,                  0.995,                0.98657,                0.98965,                      1,                  0.995,                 0.9691,                0.25893,                0.36801,                0.21953,                0.63245,               0.001783,               0.001783,               0.001783
                     85,                0.32743,                0.59971,                0.32899,                0.92845,                 0.9894,                      1,                  0.995,                  0.995,                 0.9894,                      1,                  0.995,                0.96871,                0.26143,                0.36059,                0.23271,                0.62811,               0.001684,               0.001684,               0.001684
                     86,                0.33287,                0.58257,                0.34359,                0.93373,                0.98778,                      1,                  0.995,                  0.995,                0.98778,                      1,                  0.995,                0.96882,                0.26223,                0.34819,                0.23609,                0.62776,               0.001585,               0.001585,               0.001585
                     87,                0.33846,                0.55342,                0.33992,                0.93812,                0.98938,                      1,                  0.995,                  0.995,                0.98938,                      1,                  0.995,                0.96895,                0.24901,                 0.3353,                0.23488,                0.61662,               0.001486,               0.001486,               0.001486
                     88,                0.31822,                0.53233,                0.31194,                0.92372,                0.98978,                      1,                  0.995,                  0.995,                0.98978,                      1,                  0.995,                0.96871,                0.24865,                0.33675,                0.24297,                0.61849,               0.001387,               0.001387,               0.001387
                     89,                0.32809,                0.47012,                0.31802,                0.93925,                0.98895,                      1,                  0.995,                0.98643,                0.98895,                      1,                  0.995,                0.96882,                0.24186,                0.33921,                0.23917,                0.61259,               0.001288,               0.001288,               0.001288
                     90,                0.22393,                0.29474,                0.28898,                0.94956,                0.98981,                      1,                  0.995,                  0.995,                0.98981,                      1,                  0.995,                0.96862,                0.24029,                0.34407,                0.22168,                 0.6026,               0.001189,               0.001189,               0.001189
                     91,                0.19897,                0.30161,                0.26328,                0.97406,                0.98937,                      1,                  0.995,                  0.995,                0.98937,                      1,                  0.995,                0.96841,                0.25568,                0.35068,                0.22449,                0.60177,                0.00109,                0.00109,                0.00109
                     92,                0.18438,                0.24912,                0.21478,                0.91394,                0.98976,                      1,                  0.995,                  0.995,                0.98976,                      1,                  0.995,                0.96862,                0.24725,                0.34963,                0.22575,                0.59924,               0.000991,               0.000991,               0.000991
                     93,                0.22823,                0.25194,                0.22864,                0.99432,                0.98961,                      1,                  0.995,                  0.995,                0.98961,                      1,                  0.995,                0.96882,                0.25704,                0.35506,                 0.2085,                0.60823,               0.000892,               0.000892,               0.000892
                     94,                 0.1882,                0.23511,                0.26031,                0.93185,                0.98949,                      1,                  0.995,                  0.995,                0.98949,                      1,                  0.995,                 0.9691,                0.25362,                0.35998,                0.20373,                0.60912,               0.000793,               0.000793,               0.000793
                     95,                0.22705,                0.25857,                 0.2482,                0.96328,                0.98977,                      1,                  0.995,                  0.995,                0.98977,                      1,                  0.995,                0.96952,                0.24281,                0.36473,                0.21553,                0.59924,               0.000694,               0.000694,               0.000694
                     96,                0.17777,                 0.2545,                0.21449,                0.96632,                0.98919,                      1,                  0.995,                  0.995,                0.98919,                      1,                  0.995,                0.96982,                0.23468,                 0.3638,                0.20727,                0.58892,               0.000595,               0.000595,               0.000595
                     97,                0.16095,                0.23515,                0.18245,                0.93325,                0.98851,                      1,                  0.995,                  0.995,                0.98851,                      1,                  0.995,                0.96929,                 0.2191,                0.36626,                0.20817,                0.57431,               0.000496,               0.000496,               0.000496
                     98,                0.17327,                0.30079,                0.21031,                0.96833,                0.98847,                      1,                  0.995,                  0.995,                0.98847,                      1,                  0.995,                0.96952,                0.21494,                0.36756,                0.20163,                0.57008,               0.000397,               0.000397,               0.000397
                     99,                0.17173,                0.34076,                0.22834,                0.92565,                0.98876,                      1,                  0.995,                  0.995,                0.98876,                      1,                  0.995,                 0.9691,                0.20225,                0.36769,                0.20746,                0.56233,               0.000298,               0.000298,               0.000298
